User_ID,Gender,Age_Group,User_Tier
U-5904,Female,26-30,Free
U-5905,Female,22-25,Premium
U-5906,Female,18-21,Free
U-5907,Female,18-21,Premium
U-5908,Male,18-21,Free
U-5909,Female,18-21,Free
U-5910,Male,22-25,Free
U-5911,Female,18-21,Free
U-5912,Female,22-25,Free
U-5913,Female,22-25,Free
U-5914,Female,18-21,Free
U-5915,Female,30+,Free
U-5916,Male,18-21,Premium
U-5917,Female,18-21,Free
U-5918,Female,18-21,Free
U-5919,Male,18-21,Influencer
U-5920,Female,18-21,Free
U-5921,Female,18-21,Free
U-5922,Female,22-25,Free
U-5923,Female,18-21,Free
U-5924,Female,30+,Free
U-5925,Female,22-25,Free
U-5926,Male,26-30,Premium
U-5927,Female,26-30,Free
U-5928,Male,22-25,Free
U-5929,Male,22-25,Free
U-5930,Female,22-25,Free
U-5931,Female,18-21,Free
U-5932,Female,18-21,Free
U-5933,Female,18-21,Free
U-5934,Female,18-21,Free
U-5935,Female,18-21,Free
U-5936,Female,22-25,Free
U-5937,Male,22-25,Free
U-5938,Male,26-30,Influencer
U-5939,Male,26-30,Free
U-5940,Female,22-25,Premium
U-5941,Female,18-21,Premium
U-5942,Female,18-21,Premium
U-5943,Male,30+,Premium
U-5944,Male,26-30,Free
U-5945,Male,18-21,Premium
U-5946,Male,18-21,Free
U-5947,Female,18-21,Free
U-5948,Female,18-21,Influencer
U-5949,Male,18-21,Free
U-5950,Male,18-21,Free
U-5951,Male,18-21,Premium
U-5952,Non-Binary,18-21,Premium
U-5953,Male,22-25,Free
U-5954,Male,22-25,Premium
U-5955,Male,18-21,Free
U-5956,Male,18-21,Free
U-5957,Female,18-21,Free
U-5958,Female,26-30,Premium
U-5959,Female,18-21,Free
U-5960,Male,22-25,Premium
U-5961,Male,18-21,Premium
U-5962,Female,22-25,Premium
U-5963,Female,18-21,Free
U-5964,Female,18-21,Free
U-5965,Male,22-25,Premium
U-5966,Female,18-21,Free
U-5967,Male,18-21,Free
U-5968,Female,18-21,Premium
U-5969,Male,18-21,Free
U-5970,Female,22-25,Free
U-5971,Male,18-21,Free
U-5972,Female,18-21,Premium
U-5973,Non-Binary,18-21,Free
U-5974,Female,18-21,Free
U-5975,Female,22-25,Free
U-5976,Female,18-21,Free
U-5977,Male,22-25,Free
U-5978,Male,18-21,Free
U-5979,Male,18-21,Free
U-5980,Male,22-25,Premium
U-5981,Female,22-25,Premium
U-5982,Female,22-25,Free
U-5983,Female,18-21,Free
U-5984,Male,18-21,Premium
U-5985,Female,22-25,Premium
U-5986,Female,18-21,Premium
U-5987,Male,18-21,Free
U-5988,Female,18-21,Premium
U-5989,Male,26-30,Premium
U-5990,Female,26-30,Free
U-5991,Female,22-25,Free
U-5992,Female,22-25,Free
U-5993,Male,22-25,Free
U-5994,Female,18-21,Free
U-5995,Male,22-25,Free
U-5996,Male,18-21,Free
U-5997,Male,22-25,Free
U-5998,Female,18-21,Free
U-5999,Male,18-21,Premium
